duty_median_Thorax,duty_median_Abdomen,duty_median_Tot
0.48858329,0.511653117,0.481935484
0.487804878,0.511111111,0.477272727
0.487492183,0.512195122,0.477272727
0.48858329,0.512195122,0.478636364
0.497572816,0.512195122,0.472953216
0.488888889,0.511653117,0.476731602
0.5,0.50952381,0.466939891
0.5,0.50952381,0.475403226
0.5,0.512195122,0.477272727
0.5,0.512195122,0.50877193
0.5,0.503968254,0.509090909
0.5,0.510638298,0.508931419
0.5,0.512195122,0.5
0.5,0.509287403,0.5
0.5,0.503968254,0.5
0.5,0.5,0.5
0.5,0.503968254,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.504201681,0.489995998
0.5,0.5,0.5
0.5,0.50210084,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.508870215,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.504424779,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.4,0.52755316,0.490381058
0.4,0.52755316,0.490196078
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.503759398,0.506304703,0.5
0.503759398,0.506304703,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.495495495,0.5,0.5
0.495145631,0.5,0.5
0.491515674,0.5,0.5
0.491376747,0.5,0.5
0.48977889,0.5,0.5
0.491515674,0.495145631,0.5
0.495495495,0.495145631,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.493335527,0.5
0.5,0.493335527,0.5
0.5,0.497572816,0.5
0.5,0.5,0.5
0.5,0.495145631,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.491525424,0.5
0.5,0.497572816,0.5
0.487804878,0.50210084,0.487179487
0.47336858,0.455555556,0.486446886
0.488372093,0.512195122,0.5
0.5,0.491525424,0.5
0.5,0.495145631,0.5
0.5,0.492537313,0.5
0.5,0.491376747,0.5
0.5,0.491525424,0.5
0.5,0.490909091,0.5
0.5,0.490737564,0.5
0.5,0.490909091,0.5
0.5,0.490566038,0.5
0.5,0.49122807,0.5
0.5,0.49122807,0.5
0.5,0.49122807,0.5
0.5,0.490909091,0.5
0.5,0.490074686,0.5
0.5,0.490566038,0.5
0.5,0.490074686,0.5
0.5,0.490909091,0.5
0.5,0.490566038,0.5
0.5,0.489361702,0.5
0.5,0.489361702,0.5
0.5,0.488888889,0.5
0.5,0.488372093,0.5
0.5,0.488372093,0.5
0.5,0.488088486,0.5
0.5,0.487179487,0.5
0.5,0.487010796,0.5
0.5,0.487179487,0.5
0.5,0.487804878,0.5
0.5,0.487179487,0.5
0.5,0.486486486,0.5
0.5,0.487179487,0.5
0.5,0.486486486,0.5
0.5,0.487179487,0.5
0.361038961,0.512195122,0.489361702
0.361038961,0.512195122,0.489361702
0.5,0.487179487,0.5
0.5,0.486832987,0.5
