index,fB_median_Thorax,Ti_median_Thorax,Te_median_Thorax,duty_median_Thorax,fBirq_Abd,Tiirq_Abd,Teirq_Abd,duty_irq_Abd,fBmedian_Abdomen,Ti_median_Abdomen,Te_median_Abdomen,duty_median_Abdomen,fBirq_Thorax,Tiirq_Thorax,Teirq_Thorax,duty_irq_Thorax,fB_median_Tot,Ti_median_Tot,Te_median_Tot,duty_median_Tot,fBirq_Tot,Tiirq_Tot,Teirq_Tot,duty_irq_Tot,activity
4200,10.169491525423728,2.3,3.3,0.42857142857142855,4.5,2.3,2.2,0.31457800511508954,9.600614439324119,2.8,2.7,0.4941860465116279,3.835575498529018,2.0429548688782364,2.1877240790288734,0.21074444450995675,9.302884615384617,2.45,3.1,0.3852901484480432,4.637215528781794,2.4749999999999996,2.8999999999999995,0.434808676272091,supine
4500,10.084745762711865,2.3,3.3499999999999996,0.4096371882086168,4.578947368421053,2.2749999999999995,2.3499999999999996,0.25765040106951875,9.523809523809524,2.7,2.8,0.48837209302325574,3.7395181304073573,2.013125399440848,2.1321756430868852,0.21108381913991645,9.523809523809524,2.4,3.0,0.3859649122807018,4.744897959183673,2.3999999999999995,2.8999999999999995,0.4360360360360361,supine
4800,10.169491525423728,2.5,3.3,0.42857142857142855,4.552631578947368,2.3,2.2,0.3032088122605364,10.169491525423728,2.7,2.9,0.4583333333333333,3.6265429616573948,1.974004671839569,2.118339234190575,0.21096986696839742,9.523809523809524,2.4,3.0,0.4183673469387754,4.697429604753296,2.55,2.8999999999999995,0.43084874668696843,supine
5100,9.838709677419356,2.5,3.3,0.42857142857142855,4.707792207792208,2.450000000000001,2.2,0.30646551724137927,9.375,2.8,2.9,0.48837209302325574,3.6501188446962254,1.9642118323248838,2.124581513130513,0.2080647206661562,9.918032786885245,2.4,3.0,0.412672045562411,4.8520676721987055,2.125,2.825,0.4235528037853619,supine
5400,5.405405405405406,2.2,4.8,0.29411764705882354,5.249228705566734,3.0,9.149999999999999,0.363585070499283,6.249999999999999,4.4,4.1,0.4583333333333333,5.35045874359083,25.376795288815227,17.242068692773614,0.266348145515061,7.453703703703704,3.7,4.25,0.4678030303030303,5.612387290682696,4.6,7.225,0.41908884766027626,supine
5700,5.000347246336552,4.25,9.35,0.3080177276390008,3.2663375691047967,6.249999999999998,7.999999999999999,0.3050623589516777,3.9473684210526314,6.2,6.6,0.4583333333333333,2.490770209700528,150.99375736070934,5.178067298942816,0.345041201056991,5.977398889770024,3.8,4.699999999999999,0.3055954088952655,5.785226111770025,4.675000000000001,11.024999999999999,0.5346734051606481,supine
6000,5.357142857142858,4.4,9.0,0.32191780821917804,2.4838175523107022,5.8999999999999995,8.1,0.37851550015979535,3.9473684210526314,6.2,6.6,0.4583333333333333,2.490770209700528,150.99375736070934,5.178067298942816,0.345041201056991,5.977398889770024,3.8,4.699999999999999,0.3055954088952655,5.785226111770025,4.675000000000001,11.024999999999999,0.5346734051606481,supine
6300,10.169491525423728,2.55,3.3,0.4337719298245614,5.495423877372144,2.325,2.45,0.3200995807127882,9.449404761904763,2.8,2.75,0.5165768194070082,3.6723580354480063,2.053344360666963,2.0544103350811813,0.21182272825797666,9.230769230769232,2.4,3.0,0.39473684210526316,5.186562576837964,2.45,3.0999999999999996,0.39893718899143843,supine
6600,10.169491525423728,2.55,3.2,0.4337719298245614,5.399223781172049,2.3,2.4750000000000005,0.32603948287910556,10.169491525423728,2.7,2.4,0.5294117647058825,3.5499143104280972,1.864035577621762,2.00716282141139,0.21265006913499537,9.449404761904763,2.4,3.0,0.41608022519352567,5.29259896729776,2.55,3.0250000000000004,0.4049118323969404,supine
6900,10.0,2.6,3.3,0.4342105263157895,5.636070853462159,2.4000000000000004,2.6999999999999997,0.3290094339622641,8.955223880597014,3.2,2.9,0.5277777777777778,3.84735180542862,2.3807607570224727,2.29630266746221,0.21048992031168087,8.955223880597014,2.5,3.0,0.44104803493449785,5.103448275862069,2.75,3.0999999999999996,0.3970740194812102,supine
