index,fB_median_Thorax,Ti_median_Thorax,Te_median_Thorax,duty_median_Thorax,fBirq_Abd,Tiirq_Abd,Teirq_Abd,duty_irq_Abd,fBmedian_Abdomen,Ti_median_Abdomen,Te_median_Abdomen,duty_median_Abdomen,fBirq_Thorax,Tiirq_Thorax,Teirq_Thorax,duty_irq_Thorax,fB_median_Tot,Ti_median_Tot,Te_median_Tot,duty_median_Tot,fBirq_Tot,Tiirq_Tot,Teirq_Tot,duty_irq_Tot
136500,6.779877425944843,3.8,3.9,0.5,6.1952294529427006,4.7,4.6,0.352530819730064,6.666666666666666,3.3,3.7,0.5355990783410138,4.554437890992075,23.118167489592345,24.566965500640627,0.23365499014827157,7.142857142857142,3.2,2.9,0.5365853658536587,8.653846153846152,4.7,5.2,0.3379469434832757
136800,11.11111111111111,2.5,2.4,0.5,5.502784146740909,1.9000000000000001,1.9999999999999998,0.31853658536585383,11.538461538461537,2.5,2.4,0.5196153846153846,4.219595907988099,3.1551127182222904,3.8877752859388055,0.17952926858407112,11.11111111111111,2.5,2.4,0.5217391304347826,6.6364152013613165,2.4000000000000004,2.0999999999999996,0.24814814814814823
137100,10.90909090909091,2.5,2.5,0.5,5.734310289901243,1.9999999999999998,1.9999999999999998,0.31578947368421056,12.0,2.4,2.3,0.5192307692307693,3.791922819636125,2.2928373595818794,2.516857525442923,0.17613425164539181,11.764705882352942,2.5,2.3,0.5192307692307693,6.390977443609022,1.8000000000000003,1.7,0.2433982683982684
137400,10.90909090909091,2.5,2.5,0.5,5.7343102899012415,1.9999999999999998,2.075,0.3149706457925636,12.244897959183673,2.4,2.3,0.5192307692307693,3.5748322170485514,2.014419253654618,2.1362476653648517,0.17599855678953125,12.0,2.4,2.3,0.5166666666666667,5.952380952380951,1.5,1.4999999999999998,0.24666627214266001
137700,11.11111111111111,2.5,2.4,0.5,5.620155038759689,1.9999999999999998,1.9999999999999998,0.3159491845618902,12.0,2.4,2.3,0.5187529301453353,3.832110130869057,2.3635903498288706,2.643363110175658,0.17616002754634894,11.764705882352942,2.4,2.3,0.5196153846153846,6.177606177606178,1.7000000000000002,1.5999999999999999,0.24038461538461536
138000,7.5,3.4,3.4,0.5,6.453715775749672,3.9999999999999996,3.9,0.34497367492751513,11.53846153846154,2.5,2.4,0.5168539325842697,4.1814480215917085,3.0295008797004765,3.7661985049204465,0.17957340486500226,10.714285714285715,2.6,2.4,0.5217391304347826,7.211915338385157,2.7,2.8000000000000003,0.259523861695917
138300,7.5,3.4,3.4,0.5,6.464398014746966,3.9999999999999996,3.9,0.34523647527076456,11.764705882352942,2.5,2.3,0.5217391304347826,3.9091039313711695,2.5126780315893362,2.888737182660091,0.17699678398275004,10.90909090909091,2.6,2.4,0.5217391304347826,7.135306553911205,2.5999999999999996,2.5000000000000004,0.25422045680238325
138600,11.11111111111111,2.5,2.4,0.5,5.620155038759689,1.9999999999999998,1.9999999999999998,0.31643132220795894,12.244897959183673,2.4,2.3,0.5217391304347826,3.610982927535114,2.060223615283034,2.1735402985724903,0.17593773394743947,12.0,2.4,2.3,0.5192307692307693,6.066536203522505,1.6,1.5999999999999999,0.24278074866310162
138900,11.11111111111111,2.5,2.4,0.5,5.532126869745605,1.9000000000000001,1.9999999999999998,0.3184396049533913,12.244897959183673,2.4,2.3,0.5208333333333334,3.557163029749706,1.9946509370242655,2.1044270829420357,0.17523972809422558,12.244897959183673,2.4,2.3,0.5166666666666667,5.590062111801242,1.4,1.4000000000000001,0.2455172413793104
139200,11.320754716981131,2.5,2.4,0.5,5.382059800664452,1.9000000000000001,1.9000000000000001,0.3205914172376487,12.244897959183673,2.4,2.3,0.520920868347339,3.55506849265771,1.9934323555163223,2.102377561488376,0.17511148908336754,12.244897959183673,2.4,2.3,0.5161290322580645,5.46218487394958,1.4,1.4000000000000001,0.2466216216216216
