index,fB_median_Thorax,Ti_median_Thorax,Te_median_Thorax,duty_median_Thorax,fBirq_Abd,Tiirq_Abd,Teirq_Abd,duty_irq_Abd,fBmedian_Abdomen,Ti_median_Abdomen,Te_median_Abdomen,duty_median_Abdomen,fBirq_Thorax,Tiirq_Thorax,Teirq_Thorax,duty_irq_Thorax,fB_median_Tot,Ti_median_Tot,Te_median_Tot,duty_median_Tot,fBirq_Tot,Tiirq_Tot,Teirq_Tot,duty_irq_Tot,activity
237000,2.090592334494773,4.7,5.0,0.5110732538330494,4.528383648707209,26.374999999999996,26.274999999999995,0.7261305707985025,8.108108108108107,2.9,2.9,0.5142857142857143,4.207707009530768,3.5167678996019984,3.5387672658204576,0.21348442425907252,4.511278195488721,5.2,4.9,0.5098039215686275,4.66310471251006,8.5,8.200000000000001,0.5219780600711083,lying_right
237300,4.761904761904762,4.2,4.6,0.4871794871794872,5.348364685062593,7.799999999999999,8.5,0.5182957316462391,10.526315789473683,2.5,2.5,0.5111111111111111,3.77703845149916,2.124971626558446,2.154975968670025,0.20100883082462467,7.692307692307693,3.0,2.9,0.5132743362831858,6.5015479876160995,4.1,4.0,0.4139508290451686,lying_right
237600,8.955223880597016,2.7,2.7,0.48912529550827427,6.666666666666666,3.0,3.3,0.4083167377904221,10.526315789473685,2.5,2.5,0.5128205128205129,3.7625409132426113,2.0982640991519528,2.1112673951221717,0.20127589372003374,10.0,2.6,2.4,0.5092624356775299,6.26118067978533,2.7,2.7,0.3780244197720427,lying_right
237900,7.792207792207791,2.9,3.1,0.48888888888888893,6.547314578005116,3.8,4.0,0.42569213732004435,10.90909090909091,2.5,2.4,0.5128205128205129,3.7092245219606808,1.995681745362617,2.034064916336716,0.20102460917289952,9.836065573770492,2.6,2.5,0.5102040816326531,6.429754194877834,2.8,2.8,0.3816656466748266,lying_right
238200,8.571428571428571,2.8,2.8,0.4893617021276596,6.515957446808512,3.3999999999999995,3.4000000000000004,0.41036472168558313,10.714285714285715,2.5,2.5,0.5128205128205129,3.753176412574068,2.0810435686077287,2.091558863713353,0.20122144331966973,9.836065573770492,2.6,2.5,0.5106382978723405,6.453488372093023,2.8,2.8,0.38100775193798453,lying_right
238500,8.695652173913043,2.8,2.8,0.48979591836734687,6.660499537465311,3.2,3.3999999999999995,0.40970739786529253,10.714285714285715,2.5,2.4,0.5128205128205129,3.745580424654664,2.0761635265668508,2.0781553994648316,0.201228460029819,10.0,2.6,2.4,0.5098039215686275,6.2611806797853315,2.7,2.7,0.37848221649918357,lying_right
238800,5.660377358490566,3.7,4.0,0.4857142857142857,5.133567829641602,6.0,6.800000000000001,0.4728915662650601,10.714285714285715,2.5,2.4,0.5128205128205129,3.746957568737007,2.0715214155471275,2.078953605447094,0.20123961495947024,8.333333333333334,2.8,2.7,0.5098039215686275,6.940714728361908,3.5000000000000004,3.5,0.40324947265524524,lying_right
239100,4.25531914893617,4.6,4.8,0.5,5.532532117695814,9.2,10.4,0.5569155446756426,11.320754716981131,2.5,2.4,0.5135135135135135,3.650930944262006,1.916336855449047,1.9133594422880187,0.20167689027555075,6.349384098544233,3.7,3.7,0.5088807146610614,5.429591964967568,5.2,5.1,0.4411620356387798,lying_right
239400,5.555555555555556,3.7,4.0,0.48412698412698413,5.181638974936637,6.0,6.9,0.47260663313294893,10.714285714285715,2.5,2.4,0.5128205128205129,3.742389462317662,2.0571227235927925,2.0798403411461095,0.2013943592765503,8.450704225352112,2.8,2.6,0.5098039215686275,6.825363387402571,3.5,3.5,0.4022108843537415,lying_right
239700,10.526315789473683,2.5,2.5,0.4857142857142857,6.05875152998776,2.5999999999999996,2.6,0.4230552966759863,10.526315789473685,2.5,2.5,0.5128205128205129,3.7756235112144445,2.1212119109823417,2.1438926861946235,0.20114095019840028,10.0,2.6,2.4,0.509090909090909,6.2611806797853315,2.7,2.7,0.3778420835055808,lying_right
240000,9.756742464304601,2.6,2.6,0.48808848553601814,6.407447973713035,2.8000000000000003,2.9,0.41186252771618614,10.169491525423728,2.5,2.5,0.5102040816326531,3.8576473103700826,2.2770744513695926,2.2883858264249413,0.20249707922865148,10.526315789473683,2.5,2.4,0.5085137085137085,6.285714285714285,2.5,2.6,0.3780883367839889,lying_right
