[03],[5b],[00],[4f],[3a],[35],[ec],[60],23:07:12:53:57:266
[01],[59],[00],[50],[ad],[d4],[22],[b3],23:07:12:53:57:288
[02],[5b],[00],[50],[33],[47],[d1],[4e],23:07:12:53:57:319
[01],[59],[00],[51],[ac],[d5],[22],[b4],23:07:12:53:57:388
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:57:419
[02],[5c],[00],[51],[34],[47],[d1],[4e],23:07:12:53:57:419
[01],[59],[00],[52],[ac],[d5],[22],[b4],23:07:12:53:57:488
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:57:519
[02],[5b],[00],[52],[34],[47],[d1],[4e],23:07:12:53:57:519
[01],[59],[00],[53],[ac],[d5],[22],[b4],23:07:12:53:57:588
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:57:619
[02],[5b],[00],[53],[34],[47],[d2],[4e],23:07:12:53:57:619
[03],[5b],[00],[53],[3b],[36],[eb],[5f],23:07:12:53:57:667
[01],[59],[00],[54],[ad],[d4],[22],[b3],23:07:12:53:57:688
[02],[5b],[00],[54],[34],[47],[d3],[4e],23:07:12:53:57:725
[01],[59],[00],[55],[ad],[d4],[22],[b3],23:07:12:53:57:788
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:57:820
[02],[5c],[00],[55],[33],[48],[d4],[4e],23:07:12:53:57:820
[03],[5b],[00],[55],[3a],[37],[eb],[5f],23:07:12:53:57:866
[01],[58],[00],[56],[ad],[d4],[22],[b3],23:07:12:53:57:888
[02],[5b],[00],[56],[33],[48],[d4],[4e],23:07:12:53:57:920
[01],[59],[00],[57],[ad],[d4],[22],[b3],23:07:12:53:57:988
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:58:21
[02],[5b],[00],[57],[33],[49],[d4],[4e],23:07:12:53:58:21
[03],[5b],[00],[57],[3a],[37],[eb],[5f],23:07:12:53:58:52
[01],[59],[00],[58],[ad],[d4],[22],[b3],23:07:12:53:58:89
[02],[5b],[00],[58],[33],[49],[d3],[4d],23:07:12:53:58:120
[01],[59],[00],[59],[ad],[d4],[22],[b3],23:07:12:53:58:189
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:58:220
[02],[5b],[00],[59],[34],[48],[d3],[4d],23:07:12:53:58:220
