[03],[5b],[00],[2e],[41],[36],[dc],[56],23:07:12:34:52:639
[01],[5a],[00],[2e],[62],[19],[e1],[45],23:07:12:34:52:685
[02],[5b],[00],[2e],[3a],[45],[d3],[4b],23:07:12:34:52:708
[03],[5b],[00],[2f],[41],[36],[dc],[56],23:07:12:34:52:739
[01],[5b],[00],[2f],[62],[19],[e1],[45],23:07:12:34:52:786
[02],[5b],[00],[2f],[3a],[45],[d3],[4b],23:07:12:34:52:808
[03],[5b],[00],[30],[41],[35],[dc],[56],23:07:12:34:52:839
[01],[5b],[00],[30],[62],[19],[e1],[45],23:07:12:34:52:886
[02],[5b],[00],[30],[3b],[45],[d3],[4b],23:07:12:34:52:908
[03],[5a],[00],[31],[41],[35],[dc],[56],23:07:12:34:52:939
[01],[5a],[00],[31],[62],[19],[e1],[45],23:07:12:34:52:986
[02],[5b],[00],[31],[3b],[45],[d3],[4b],23:07:12:34:53:08
[03],[5b],[00],[32],[41],[35],[dc],[57],23:07:12:34:53:39
[01],[5a],[00],[32],[62],[19],[e1],[45],23:07:12:34:53:86
[02],[5c],[00],[32],[3b],[45],[d3],[4b],23:07:12:34:53:108
[03],[5b],[00],[33],[41],[35],[dc],[57],23:07:12:34:53:139
[02],[5b],[00],[33],[3b],[45],[d3],[4b],23:07:12:34:53:208
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:53:239
[03],[5a],[00],[34],[41],[35],[dc],[57],23:07:12:34:53:239
[01],[5a],[00],[34],[62],[1a],[e1],[45],23:07:12:34:53:286
[02],[5b],[00],[34],[3b],[45],[d3],[4b],23:07:12:34:53:309
[03],[5a],[00],[35],[41],[36],[dc],[57],23:07:12:34:53:340
[01],[5a],[00],[35],[62],[1a],[e1],[45],23:07:12:34:53:371
[02],[5b],[00],[35],[3b],[45],[d3],[4b],23:07:12:34:53:409
[03],[5b],[00],[36],[41],[36],[dc],[57],23:07:12:34:53:441
[01],[5a],[00],[36],[61],[1a],[e1],[45],23:07:12:34:53:473
[02],[5b],[00],[36],[3b],[45],[d3],[4b],23:07:12:34:53:509
[03],[5b],[00],[37],[41],[36],[dc],[57],23:07:12:34:53:541
[01],[5b],[00],[37],[61],[1b],[e1],[45],23:07:12:34:53:573
[02],[5b],[00],[37],[3a],[45],[d3],[4b],23:07:12:34:53:609
[03],[5a],[00],[38],[41],[36],[dc],[57],23:07:12:34:53:642
[01],[5b],[00],[38],[61],[1b],[e0],[45],23:07:12:34:53:673
[02],[5b],[00],[38],[3a],[45],[d2],[4b],23:07:12:34:53:709
[01],[5a],[00],[39],[61],[1b],[e0],[45],23:07:12:34:53:772
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:53:814
[02],[5b],[00],[39],[3a],[45],[d2],[4b],23:07:12:34:53:819
[03],[5b],[00],[3a],[41],[36],[dc],[57],23:07:12:34:53:853
[01],[5a],[00],[3a],[61],[1b],[e0],[46],23:07:12:34:53:886
[02],[5b],[00],[3a],[3a],[45],[d2],[4b],23:07:12:34:53:910
[03],[5b],[00],[3b],[40],[36],[dc],[57],23:07:12:34:53:941
[01],[5a],[00],[3b],[61],[1b],[e0],[45],23:07:12:34:53:973
[02],[5b],[00],[3b],[3b],[45],[d1],[4a],23:07:12:34:54:10
[03],[5b],[00],[3c],[40],[36],[dc],[57],23:07:12:34:54:43
[01],[5a],[00],[3c],[61],[1b],[e0],[45],23:07:12:34:54:75
[02],[5b],[00],[3c],[3b],[45],[d1],[4a],23:07:12:34:54:110
[03],[5a],[00],[3d],[40],[36],[dc],[57],23:07:12:34:54:141
[01],[5a],[00],[3d],[61],[1b],[e0],[45],23:07:12:34:54:173
[02],[5b],[00],[3d],[3b],[45],[d1],[4a],23:07:12:34:54:210
[03],[5b],[00],[3e],[40],[36],[dc],[57],23:07:12:34:54:241
[01],[5a],[00],[3e],[60],[1c],[e0],[45],23:07:12:34:54:273
[02],[5b],[00],[3e],[3b],[45],[d1],[4a],23:07:12:34:54:310
[03],[5b],[00],[3f],[40],[36],[dc],[57],23:07:12:34:54:342
[01],[5a],[00],[3f],[60],[1c],[df],[45],23:07:12:34:54:374
[02],[5c],[00],[3f],[3b],[45],[d1],[4a],23:07:12:34:54:410
[03],[5a],[00],[40],[40],[36],[dc],[57],23:07:12:34:54:441
[01],[5a],[00],[40],[60],[1c],[df],[45],23:07:12:34:54:473
[02],[5b],[00],[40],[3b],[45],[d1],[4a],23:07:12:34:54:511
[03],[5b],[00],[41],[40],[36],[dc],[57],23:07:12:34:54:542
[01],[5a],[00],[41],[60],[1c],[df],[45],23:07:12:34:54:573
[02],[5b],[00],[41],[3b],[45],[d2],[4a],23:07:12:34:54:611
[03],[5b],[00],[42],[40],[36],[dc],[57],23:07:12:34:54:642
[02],[5b],[00],[42],[3b],[45],[d1],[4a],23:07:12:34:54:710
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:54:742
[03],[5b],[00],[43],[40],[36],[dc],[57],23:07:12:34:54:742
[01],[5a],[00],[43],[60],[1b],[df],[45],23:07:12:34:54:773
[02],[5b],[00],[43],[3b],[44],[d1],[4b],23:07:12:34:54:811
[03],[5b],[00],[44],[40],[36],[dc],[57],23:07:12:34:54:842
[01],[5a],[00],[44],[60],[1b],[df],[45],23:07:12:34:54:874
[02],[5b],[00],[44],[3b],[44],[d1],[4b],23:07:12:34:54:918
[03],[5b],[00],[45],[40],[36],[dc],[57],23:07:12:34:54:941
[01],[5b],[00],[45],[60],[1c],[df],[45],23:07:12:34:54:972
[02],[5b],[00],[45],[3b],[44],[d1],[4b],23:07:12:34:55:11
[01],[5a],[00],[46],[60],[1c],[df],[45],23:07:12:34:55:74
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:55:112
[02],[5b],[00],[46],[3b],[44],[d2],[4b],23:07:12:34:55:112
[03],[5b],[00],[47],[40],[36],[dd],[57],23:07:12:34:55:145
[01],[5b],[00],[47],[60],[1c],[df],[45],23:07:12:34:55:176
[02],[5b],[00],[47],[3b],[44],[d2],[4b],23:07:12:34:55:212
[03],[5b],[00],[48],[40],[36],[dd],[57],23:07:12:34:55:244
[01],[5b],[00],[48],[60],[1b],[e0],[45],23:07:12:34:55:275
[02],[5c],[00],[48],[3b],[44],[d2],[4b],23:07:12:34:55:312
[03],[5b],[00],[49],[40],[36],[dd],[57],23:07:12:34:55:343
[01],[5a],[00],[49],[61],[1b],[e0],[45],23:07:12:34:55:375
[02],[5b],[00],[49],[3b],[45],[d2],[4b],23:07:12:34:55:412
[03],[5b],[00],[4a],[40],[36],[dd],[57],23:07:12:34:55:444
[01],[5a],[00],[4a],[61],[1b],[e0],[45],23:07:12:34:55:475
[02],[5c],[00],[4a],[3b],[45],[d2],[4b],23:07:12:34:55:513
[03],[5b],[00],[4b],[40],[36],[dd],[57],23:07:12:34:55:544
[01],[5a],[00],[4b],[61],[1b],[df],[45],23:07:12:34:55:575
[02],[5b],[00],[4b],[3b],[45],[d2],[4b],23:07:12:34:55:613
[03],[5a],[00],[4c],[40],[36],[dd],[57],23:07:12:34:55:645
[01],[5a],[00],[4c],[61],[1b],[df],[45],23:07:12:34:55:676
[02],[5b],[00],[4c],[3b],[45],[d2],[4b],23:07:12:34:55:714
[03],[5b],[00],[4d],[40],[36],[dd],[57],23:07:12:34:55:745
[01],[5b],[00],[4d],[61],[1b],[df],[45],23:07:12:34:55:777
[02],[5b],[00],[4d],[3b],[45],[d2],[4b],23:07:12:34:55:814
[03],[5b],[00],[4e],[40],[36],[dd],[57],23:07:12:34:55:846
[01],[5a],[00],[4e],[61],[1b],[df],[45],23:07:12:34:55:878
[02],[5b],[00],[4e],[3b],[45],[d2],[4b],23:07:12:34:55:914
[01],[5a],[00],[4f],[61],[1b],[df],[45],23:07:12:34:55:977
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:56:15
[02],[5b],[00],[4f],[3b],[45],[d2],[4b],23:07:12:34:56:15
[03],[5b],[00],[50],[40],[36],[dd],[57],23:07:12:34:56:49
[02],[5b],[00],[50],[3b],[45],[d2],[4b],23:07:12:34:56:114
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:56:146
[03],[5b],[00],[51],[40],[36],[dd],[57],23:07:12:34:56:146
[01],[5a],[00],[51],[61],[1a],[df],[44],23:07:12:34:56:178
[02],[5b],[00],[51],[3b],[45],[d2],[4b],23:07:12:34:56:215
[03],[5b],[00],[52],[40],[36],[dd],[57],23:07:12:34:56:241
[01],[5b],[00],[52],[61],[1a],[df],[44],23:07:12:34:56:272
[02],[5b],[00],[52],[3b],[45],[d2],[4b],23:07:12:34:56:315
[03],[5a],[00],[53],[40],[36],[dd],[57],23:07:12:34:56:346
[02],[5b],[00],[53],[3b],[45],[d2],[4b],23:07:12:34:56:415
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:56:448
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:56:500
[02],[5b],[00],[54],[3b],[45],[d2],[4b],23:07:12:34:56:515
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:56:547
[03],[5b],[00],[55],[40],[36],[dd],[57],23:07:12:34:56:547
[01],[5a],[00],[55],[61],[1a],[df],[45],23:07:12:34:56:578
[02],[5b],[00],[55],[3b],[45],[d2],[4b],23:07:12:34:56:615
[03],[5b],[00],[56],[40],[36],[dd],[57],23:07:12:34:56:646
[01],[5b],[00],[56],[61],[1a],[e0],[45],23:07:12:34:56:678
[02],[5b],[00],[56],[3b],[45],[d2],[4b],23:07:12:34:56:716
[03],[5b],[00],[57],[40],[36],[dd],[57],23:07:12:34:56:747
[01],[5a],[00],[57],[61],[1a],[e0],[45],23:07:12:34:56:778
[02],[5b],[00],[57],[3b],[45],[d2],[4b],23:07:12:34:56:816
[03],[5b],[00],[58],[40],[36],[dd],[57],23:07:12:34:56:847
[01],[5a],[00],[58],[61],[19],[e0],[45],23:07:12:34:56:879
[02],[5b],[00],[58],[3b],[45],[d2],[4b],23:07:12:34:56:916
[03],[5b],[00],[59],[40],[36],[dd],[58],23:07:12:34:56:939
[01],[5b],[00],[59],[61],[19],[e0],[45],23:07:12:34:56:970
[02],[5b],[00],[59],[3b],[45],[d2],[4b],23:07:12:34:57:17
[03],[5b],[00],[5a],[40],[36],[dd],[58],23:07:12:34:57:48
[01],[5a],[00],[5a],[61],[1a],[e0],[45],23:07:12:34:57:79
[02],[5b],[00],[5a],[3b],[45],[d2],[4b],23:07:12:34:57:118
[03],[5b],[00],[5b],[40],[36],[dd],[58],23:07:12:34:57:144
[02],[5b],[00],[5b],[3a],[45],[d2],[4b],23:07:12:34:57:218
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:57:233
[03],[5a],[00],[5c],[40],[36],[dd],[58],23:07:12:34:57:249
[01],[5a],[00],[5c],[61],[1a],[e0],[45],23:07:12:34:57:280
[02],[5c],[00],[5c],[3b],[45],[d2],[4b],23:07:12:34:57:318
[03],[5b],[00],[5d],[40],[35],[dd],[58],23:07:12:34:57:350
[01],[5a],[00],[5d],[61],[1b],[e0],[45],23:07:12:34:57:381
[02],[5b],[00],[5d],[3b],[45],[d2],[4b],23:07:12:34:57:418
[03],[5b],[00],[5e],[40],[35],[dd],[58],23:07:12:34:57:449
[01],[5b],[00],[5e],[61],[1b],[e0],[45],23:07:12:34:57:481
[02],[5b],[00],[5e],[3b],[45],[d2],[4b],23:07:12:34:57:518
[03],[5b],[00],[5f],[40],[35],[dd],[58],23:07:12:34:57:550
[01],[5b],[00],[5f],[61],[1b],[df],[44],23:07:12:34:57:581
[02],[5b],[00],[5f],[3b],[45],[d2],[4b],23:07:12:34:57:603
[03],[5b],[00],[60],[40],[35],[dd],[58],23:07:12:34:57:650
[02],[5b],[00],[60],[3b],[45],[d2],[4b],23:07:12:34:57:703
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:57:736
[03],[5b],[00],[61],[40],[35],[dd],[58],23:07:12:34:57:751
[01],[5a],[00],[61],[61],[1b],[df],[44],23:07:12:34:57:783
[02],[5b],[00],[61],[3b],[45],[d2],[4b],23:07:12:34:57:804
[03],[5b],[00],[62],[40],[35],[dd],[58],23:07:12:34:57:837
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:57:936
[03],[5b],[00],[63],[40],[35],[dd],[58],23:07:12:34:57:936
[02],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:57:967
[02],[5b],[00],[63],[3b],[44],[d2],[4b],23:07:12:34:58:04
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:58:37
[03],[5b],[00],[64],[40],[35],[dd],[58],23:07:12:34:58:37
[02],[5b],[00],[64],[3b],[44],[d2],[4b],23:07:12:34:58:104
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:58:137
[03],[5b],[00],[65],[40],[35],[dd],[58],23:07:12:34:58:137
[02],[5b],[00],[65],[3b],[44],[d2],[4b],23:07:12:34:58:205
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:58:238
[03],[5b],[00],[66],[40],[36],[dd],[58],23:07:12:34:58:238
[01],[5b],[00],[66],[61],[1b],[df],[45],23:07:12:34:58:285
[02],[5b],[00],[66],[3b],[44],[d2],[4b],23:07:12:34:58:305
[03],[5b],[00],[67],[40],[36],[dd],[58],23:07:12:34:58:336
[02],[5b],[00],[67],[3b],[44],[d2],[4b],23:07:12:34:58:405
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:58:437
[03],[5b],[00],[68],[40],[36],[dd],[58],23:07:12:34:58:437
[01],[5a],[00],[68],[61],[1b],[e0],[45],23:07:12:34:58:483
[02],[5b],[00],[68],[3b],[44],[d2],[4b],23:07:12:34:58:506
[03],[5b],[00],[69],[40],[36],[dd],[58],23:07:12:34:58:537
[01],[5b],[00],[69],[61],[1b],[e0],[45],23:07:12:34:58:584
[02],[5b],[00],[69],[3b],[44],[d2],[4b],23:07:12:34:58:606
[03],[5b],[00],[6a],[40],[36],[dd],[58],23:07:12:34:58:637
[01],[5a],[00],[6a],[61],[1c],[e0],[45],23:07:12:34:58:684
[02],[5b],[00],[6a],[3b],[44],[d2],[4b],23:07:12:34:58:707
[03],[5b],[00],[6b],[40],[35],[dd],[58],23:07:12:34:58:751
[01],[5a],[00],[6b],[61],[1c],[df],[45],23:07:12:34:58:785
[02],[5b],[00],[6b],[3b],[44],[d2],[4b],23:07:12:34:58:807
[03],[5b],[00],[6c],[40],[36],[dd],[58],23:07:12:34:58:840
[02],[5b],[00],[6c],[3b],[44],[d2],[4b],23:07:12:34:58:907
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:58:939
[03],[5b],[00],[6d],[40],[36],[dd],[58],23:07:12:34:58:939
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:59:40
[03],[5b],[00],[6e],[3f],[36],[dd],[58],23:07:12:34:59:40
[02],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:59:72
[02],[5b],[00],[6e],[3b],[44],[d2],[4b],23:07:12:34:59:108
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:59:140
[03],[5b],[00],[6f],[3f],[36],[dd],[58],23:07:12:34:59:140
[01],[5b],[00],[6f],[60],[1c],[e0],[45],23:07:12:34:59:172
[02],[5b],[00],[6f],[3b],[44],[d2],[4b],23:07:12:34:59:209
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:59:309
[02],[5b],[00],[70],[3b],[45],[d3],[4b],23:07:12:34:59:309
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:59:340
[03],[5b],[00],[71],[3f],[36],[dc],[58],23:07:12:34:59:340
[01],[5b],[00],[71],[61],[1b],[e0],[45],23:07:12:34:59:372
[02],[5b],[00],[71],[3b],[45],[d3],[4b],23:07:12:34:59:409
[03],[5b],[00],[72],[3f],[36],[dc],[58],23:07:12:34:59:440
[01],[5a],[00],[72],[61],[1b],[df],[45],23:07:12:34:59:472
[02],[5b],[00],[72],[3b],[45],[d3],[4b],23:07:12:34:59:509
[03],[5b],[00],[73],[3f],[36],[dc],[58],23:07:12:34:59:541
[02],[5b],[00],[73],[3b],[45],[d3],[4b],23:07:12:34:59:609
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:59:640
[03],[5b],[00],[74],[3f],[36],[dc],[58],23:07:12:34:59:640
[02],[5b],[00],[74],[3b],[45],[d3],[4c],23:07:12:34:59:709
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:59:740
[03],[5b],[00],[75],[3f],[36],[dc],[58],23:07:12:34:59:740
[01],[5a],[00],[75],[61],[1a],[df],[45],23:07:12:34:59:772
[02],[5b],[00],[75],[3b],[44],[d3],[4c],23:07:12:34:59:809
[03],[5b],[00],[76],[3f],[36],[dc],[58],23:07:12:34:59:841
[01],[5a],[00],[76],[61],[1a],[e0],[45],23:07:12:34:59:875
[02],[5b],[00],[76],[3b],[44],[d3],[4c],23:07:12:34:59:910
