[02],[59],[00],[23],[93],[ea],[f3],[39],12:07:22:20:00:896
[03],[5a],[00],[24],[05],[ab],[a7],[1a],12:07:22:20:00:927
[01],[5b],[00],[24],[e1],[f8],[05],[7a],12:07:22:20:00:958
[02],[5a],[00],[24],[93],[eb],[f5],[3a],12:07:22:20:01:05
[03],[5a],[00],[25],[04],[ab],[a6],[1a],12:07:22:20:01:36
[01],[5b],[00],[25],[e1],[f8],[03],[7a],12:07:22:20:01:68
[02],[59],[00],[25],[93],[eb],[f4],[3b],12:07:22:20:01:99
[03],[5a],[00],[26],[04],[ac],[a6],[1a],12:07:22:20:01:131
[01],[5b],[00],[26],[e1],[f7],[03],[7a],12:07:22:20:01:162
[02],[59],[00],[26],[94],[ec],[f4],[3c],12:07:22:20:01:193
[03],[5a],[00],[27],[04],[ac],[a6],[1a],12:07:22:20:01:240
[01],[5c],[00],[27],[e1],[f6],[02],[7a],12:07:22:20:01:271
[02],[59],[00],[27],[94],[ed],[f4],[3d],12:07:22:20:01:302
[03],[5a],[00],[28],[03],[ac],[a6],[1a],12:07:22:20:01:334
[01],[5b],[00],[28],[e1],[f6],[02],[7a],12:07:22:20:01:365
[02],[59],[00],[28],[95],[ed],[f4],[3e],12:07:22:20:01:396
[03],[5a],[00],[29],[03],[ac],[a5],[1a],12:07:22:20:01:427
[01],[5b],[00],[29],[e1],[f6],[02],[7a],12:07:22:20:01:458
[02],[59],[00],[29],[95],[ed],[f4],[3f],12:07:22:20:01:506
[03],[5a],[00],[2a],[03],[ac],[a5],[1a],12:07:22:20:01:537
[01],[5b],[00],[2a],[e1],[f6],[01],[7a],12:07:22:20:01:568
[02],[59],[00],[2a],[96],[ed],[f5],[41],12:07:22:20:01:599
[01],[5b],[00],[2b],[e1],[f6],[01],[7a],12:07:22:20:01:662
[03],[00],[FF],[00],[00],[00],[00],[00],12:07:22:20:01:693
[03],[59],[00],[2c],[03],[ad],[a5],[1a],12:07:22:20:01:740
[02],[00],[FF],[00],[00],[00],[00],[00],12:07:22:20:01:755
[01],[5b],[00],[2c],[e1],[f6],[01],[7a],12:07:22:20:01:771
[02],[59],[00],[2c],[97],[ed],[f5],[42],12:07:22:20:01:802
[03],[5a],[00],[2d],[03],[ad],[a5],[1a],12:07:22:20:01:834
[01],[5b],[00],[2d],[e1],[f6],[02],[7a],12:07:22:20:01:865
[02],[59],[00],[2d],[97],[ed],[f4],[43],12:07:22:20:01:896
[03],[5a],[00],[2e],[04],[ad],[a4],[1a],12:07:22:20:01:928
[01],[5b],[00],[2e],[e2],[f6],[03],[7a],12:07:22:20:01:959
[02],[59],[00],[2e],[97],[ed],[f4],[43],12:07:22:20:02:06
[03],[5a],[00],[2f],[04],[ad],[a4],[1a],12:07:22:20:02:37
[01],[5b],[00],[2f],[e2],[f6],[04],[7a],12:07:22:20:02:68
[02],[59],[00],[2f],[97],[ed],[f3],[43],12:07:22:20:02:100
[03],[5a],[00],[30],[04],[ae],[a4],[1a],12:07:22:20:02:131
[01],[5b],[00],[30],[e2],[f6],[04],[7a],12:07:22:20:02:162
[02],[59],[00],[30],[98],[ee],[f3],[44],12:07:22:20:02:193
[03],[5a],[00],[31],[04],[ae],[a4],[1a],12:07:22:20:02:225
[01],[5b],[00],[31],[e2],[f6],[04],[7a],12:07:22:20:02:272
[02],[5a],[00],[31],[98],[ee],[f3],[44],12:07:22:20:02:302
[03],[5a],[00],[32],[04],[ae],[a4],[1a],12:07:22:20:02:334
[01],[5b],[00],[32],[e2],[f6],[03],[7a],12:07:22:20:02:365
[02],[59],[00],[32],[99],[ee],[f3],[45],12:07:22:20:02:396
[03],[5a],[00],[33],[03],[ae],[a4],[1a],12:07:22:20:02:428
[01],[5b],[00],[33],[e2],[f6],[01],[7a],12:07:22:20:02:459
[02],[59],[00],[33],[99],[ef],[f5],[46],12:07:22:20:02:506
[03],[5a],[00],[34],[03],[ae],[a4],[1a],12:07:22:20:02:537
[01],[5b],[00],[34],[e2],[f6],[00],[7a],12:07:22:20:02:568
[02],[59],[00],[34],[99],[ef],[f5],[46],12:07:22:20:02:599
[03],[5a],[00],[35],[03],[ae],[a4],[1a],12:07:22:20:02:631
[01],[5b],[00],[35],[e2],[f6],[00],[7a],12:07:22:20:02:662
[02],[5a],[00],[35],[9a],[ef],[f5],[47],12:07:22:20:02:693
[03],[5a],[00],[36],[03],[ae],[a3],[1a],12:07:22:20:02:724
[01],[5b],[00],[36],[e2],[f6],[00],[7a],12:07:22:20:02:771
[02],[5a],[00],[36],[9a],[ef],[f5],[48],12:07:22:20:02:802
[03],[5a],[00],[37],[03],[ae],[a3],[1a],12:07:22:20:02:834
[01],[5b],[00],[37],[e2],[f5],[00],[7a],12:07:22:20:02:865
[02],[59],[00],[37],[9b],[f0],[f5],[49],12:07:22:20:02:897
[03],[5a],[00],[38],[03],[af],[a3],[1a],12:07:22:20:02:928
[01],[5b],[00],[38],[e2],[f5],[00],[7a],12:07:22:20:02:959
[02],[59],[00],[38],[9b],[ef],[f4],[49],12:07:22:20:03:06
[03],[5a],[00],[39],[03],[af],[a3],[1a],12:07:22:20:03:37
[01],[5b],[00],[39],[e2],[f4],[01],[7a],12:07:22:20:03:69
[02],[59],[00],[39],[9b],[f0],[f4],[49],12:07:22:20:03:100
[03],[5a],[00],[3a],[03],[af],[a3],[1a],12:07:22:20:03:131
[01],[5b],[00],[3a],[e2],[f4],[02],[7a],12:07:22:20:03:162
[02],[59],[00],[3a],[9c],[ef],[f4],[4a],12:07:22:20:03:194
[03],[5a],[00],[3b],[03],[af],[a3],[1a],12:07:22:20:03:225
[01],[5b],[00],[3b],[e2],[f4],[02],[7a],12:07:22:20:03:272
[02],[5a],[00],[3b],[9c],[ef],[f4],[4a],12:07:22:20:03:303
[03],[5a],[00],[3c],[03],[af],[a3],[1a],12:07:22:20:03:334
[01],[5b],[00],[3c],[e1],[f4],[02],[7a],12:07:22:20:03:366
[02],[5a],[00],[3c],[9c],[ef],[f4],[4b],12:07:22:20:03:397
[03],[5a],[00],[3d],[03],[af],[a2],[1a],12:07:22:20:03:428
[01],[5b],[00],[3d],[e2],[f5],[03],[7a],12:07:22:20:03:459
[02],[59],[00],[3d],[9d],[ef],[f5],[4b],12:07:22:20:03:506
[03],[5a],[00],[3e],[03],[b0],[a2],[1a],12:07:22:20:03:537
[01],[5b],[00],[3e],[e2],[f4],[03],[7a],12:07:22:20:03:569
[02],[5a],[00],[3e],[9d],[ef],[f5],[4c],12:07:22:20:03:600
[03],[5a],[00],[3f],[03],[b0],[a2],[1a],12:07:22:20:03:631
[01],[5b],[00],[3f],[e2],[f4],[03],[7a],12:07:22:20:03:663
[02],[5a],[00],[3f],[9d],[ef],[f5],[4c],12:07:22:20:03:694
[03],[5a],[00],[40],[03],[b0],[a2],[1a],12:07:22:20:03:725
[01],[5b],[00],[40],[e2],[f4],[04],[7a],12:07:22:20:03:772
[02],[59],[00],[40],[9e],[ef],[f5],[4d],12:07:22:20:03:806
[03],[5a],[00],[41],[03],[b0],[a2],[1a],12:07:22:20:03:829
[01],[5b],[00],[41],[e1],[f4],[04],[7a],12:07:22:20:03:861
[02],[59],[00],[41],[9e],[ef],[f6],[4d],12:07:22:20:03:892
[03],[5a],[00],[42],[03],[b0],[a2],[1a],12:07:22:20:03:924
[01],[5b],[00],[42],[e1],[f4],[04],[7a],12:07:22:20:03:971
[02],[5a],[00],[42],[9e],[f0],[f6],[4e],12:07:22:20:04:03
[03],[5a],[00],[43],[03],[b0],[a2],[1a],12:07:22:20:04:34
[01],[5b],[00],[43],[e1],[f4],[04],[7a],12:07:22:20:04:65
[02],[5a],[00],[43],[9f],[f0],[f6],[4e],12:07:22:20:04:97
[03],[5a],[00],[44],[03],[b1],[a2],[1a],12:07:22:20:04:138
[01],[5b],[00],[44],[e1],[f5],[05],[7a],12:07:22:20:04:169
[02],[59],[00],[44],[9f],[f0],[f6],[4f],12:07:22:20:04:201
[03],[5a],[00],[45],[03],[b1],[a1],[1a],12:07:22:20:04:232
[01],[5c],[00],[45],[e1],[f5],[05],[7a],12:07:22:20:04:265
[02],[59],[00],[45],[9f],[f0],[f7],[4f],12:07:22:20:04:296
[03],[5a],[00],[46],[03],[b1],[a1],[1a],12:07:22:20:04:327
[01],[5b],[00],[46],[e1],[f4],[05],[7a],12:07:22:20:04:358
[03],[59],[00],[47],[03],[b1],[a1],[1a],12:07:22:20:04:436
[02],[00],[FF],[00],[00],[00],[00],[00],12:07:22:20:04:468
[01],[5c],[00],[47],[e0],[f4],[05],[7a],12:07:22:20:04:468
[02],[59],[00],[47],[a0],[f0],[f7],[50],12:07:22:20:04:499
[03],[5b],[00],[48],[03],[b1],[a1],[1a],12:07:22:20:04:539
[01],[5b],[00],[48],[e0],[f4],[05],[7a],12:07:22:20:04:572
[02],[59],[00],[48],[a0],[f0],[f7],[50],12:07:22:20:04:603
[03],[5a],[00],[49],[03],[b2],[a1],[1a],12:07:22:20:04:635
[01],[5b],[00],[49],[e0],[f4],[05],[7a],12:07:22:20:04:668
[02],[5a],[00],[49],[a1],[f1],[f7],[51],12:07:22:20:04:699
[03],[5a],[00],[4a],[03],[b2],[a1],[1a],12:07:22:20:04:730
[01],[5b],[00],[4a],[e0],[f5],[05],[7a],12:07:22:20:04:762
[02],[59],[00],[4a],[a1],[f1],[f7],[51],12:07:22:20:04:793
[03],[5a],[00],[4b],[03],[b2],[a0],[1a],12:07:22:20:04:839
[01],[5b],[00],[4b],[e0],[f6],[05],[7a],12:07:22:20:04:871
[02],[59],[00],[4b],[a1],[f1],[f7],[52],12:07:22:20:04:902
[03],[5a],[00],[4c],[03],[b2],[a0],[1a],12:07:22:20:04:934
[01],[5b],[00],[4c],[e0],[f6],[05],[7a],12:07:22:20:04:965
[02],[59],[00],[4c],[a2],[f1],[f7],[52],12:07:22:20:04:996
[03],[5a],[00],[4d],[03],[b2],[a0],[1a],12:07:22:20:05:27
[01],[5b],[00],[4d],[e0],[f6],[05],[7a],12:07:22:20:05:59
[02],[59],[00],[4d],[a2],[f1],[f7],[52],12:07:22:20:05:105
[03],[5a],[00],[4e],[03],[b2],[a0],[1a],12:07:22:20:05:136
[01],[5b],[00],[4e],[e0],[f6],[05],[7a],12:07:22:20:05:168
[02],[59],[00],[4e],[a2],[f1],[f7],[53],12:07:22:20:05:199
[03],[5a],[00],[4f],[03],[b3],[a0],[1a],12:07:22:20:05:231
[01],[5b],[00],[4f],[e0],[f6],[05],[7a],12:07:22:20:05:262
[02],[59],[00],[4f],[a3],[f1],[f7],[53],12:07:22:20:05:293
[03],[5a],[00],[50],[03],[b3],[a0],[1a],12:07:22:20:05:324
[01],[5b],[00],[50],[e0],[f6],[05],[7a],12:07:22:20:05:371
[02],[5a],[00],[50],[a3],[f1],[f7],[54],12:07:22:20:05:402
[03],[5a],[00],[51],[03],[b3],[9f],[1a],12:07:22:20:05:434
[01],[5b],[00],[51],[e0],[f7],[06],[7a],12:07:22:20:05:465
[02],[59],[00],[51],[a3],[f1],[f7],[54],12:07:22:20:05:505
[03],[5a],[00],[52],[03],[b3],[9f],[1a],12:07:22:20:05:537
[01],[5b],[00],[52],[df],[f7],[06],[7a],12:07:22:20:05:568
[02],[5a],[00],[52],[a4],[f1],[f7],[54],12:07:22:20:05:601
[03],[5a],[00],[53],[03],[b4],[9f],[1a],12:07:22:20:05:632
[01],[5b],[00],[53],[df],[f7],[06],[7a],12:07:22:20:05:664
[02],[5a],[00],[53],[a4],[f1],[f8],[55],12:07:22:20:05:695
[03],[5a],[00],[54],[03],[b4],[9f],[1a],12:07:22:20:05:726
[01],[5b],[00],[54],[df],[f7],[06],[7a],12:07:22:20:05:757
[02],[59],[00],[54],[a4],[f1],[f8],[55],12:07:22:20:05:804
[01],[5b],[00],[55],[df],[f7],[06],[79],12:07:22:20:05:867
