DevID,B,C,nthvalue,1,2,3,4
 [03],[00],[00],84,[eb],[44],[57],[39]
 [02],[00],[00],81,[61],[03],[c0],[ce]
 [03],[00],[00],85,[eb],[44],[57],[39]
 [01],[00],[00],83,[12],[44],[b0],[43]
 [02],[00],[00],82,[61],[03],[c0],[ce]
 [01],[00],[00],84,[12],[44],[b0],[43]
 [03],[00],[00],86,[eb],[44],[57],[39]
 [01],[00],[00],85,[13],[44],[b0],[43]
 [03],[00],[00],87,[eb],[44],[57],[39]
 [01],[00],[00],86,[13],[44],[b0],[43]
 [02],[00],[00],84,[60],[03],[c0],[ce]
 [03],[00],[00],88,[eb],[44],[57],[39]
 [02],[00],[00],85,[60],[03],[c0],[ce]
 [03],[00],[00],89,[eb],[44],[57],[39]
 [01],[00],[00],87,[13],[44],[b0],[43]
 [02],[00],[00],86,[60],[03],[c0],[ce]
 [01],[00],[00],88,[13],[44],[b0],[43]
 [01],[00],[00],89,[13],[44],[b0],[43]
 [02],[00],[00],87,[60],[03],[c0],[ce]
 [03],[00],[00],91,[eb],[44],[57],[39]
 [02],[00],[00],88,[60],[03],[c0],[ce]
 [03],[00],[00],92,[eb],[44],[57],[39]
 [02],[00],[00],89,[60],[03],[c0],[ce]
 [03],[00],[00],93,[eb],[44],[57],[39]
 [01],[FF],,90,[00],[00],[00],[00]
 [01],[00],[00],91,[13],[44],[b0],[43]
 [03],[00],[00],94,[eb],[44],[57],[39]
 [01],[00],[00],92,[12],[44],[b0],[43]
 [02],[00],[00],90,[60],[03],[c0],[ce]
 [01],[00],[00],93,[12],[44],[b0],[43]
 [02],[00],[00],91,[60],[03],[c0],[ce]
 [03],[00],[00],95,[eb],[44],[57],[39]
 [03],[00],[00],96,[eb],[44],[57],[39]
 [02],[00],[00],93,[61],[03],[c1],[ce]
 [03],[00],[00],97,[eb],[44],[57],[39]
 [01],[FF],,94,[00],[00],[00],[00]
 [01],[00],[00],95,[12],[44],[b0],[43]
 [03],[00],[00],98,[eb],[44],[57],[39]
 [01],[00],[00],96,[12],[44],[b0],[43]
 [02],[00],[00],94,[61],[03],[c1],[ce]
 [01],[00],[00],97,[12],[44],[b0],[43]
 [02],[00],[00],95,[61],[03],[c1],[ce]
 [03],[00],[00],99,[eb],[44],[57],[39]
 [01],[00],[00],98,[12],[44],[b0],[44]
 [02],[00],[00],96,[61],[03],[c1],[ce]
 [03],[00],[00],100,[eb],[44],[57],[39]
 [03],[00],[00],101,[eb],[45],[57],[39]
 [01],[00],[00],99,[12],[44],[b0],[43]
 [01],[00],[00],100,[12],[44],[b0],[44]
 [02],[00],[00],98,[61],[03],[c1],[ce]
 [01],[00],[00],101,[12],[44],[b0],[43]
 [02],[00],[00],99,[61],[03],[c1],[cd]
 [03],[00],[00],103,[eb],[45],[57],[39]
 [01],[00],[00],102,[12],[44],[b0],[43]
 [02],[00],[00],100,[61],[03],[c1],[cd]
 [03],[00],[00],104,[eb],[45],[57],[39]
 [03],[00],[00],105,[eb],[45],[57],[39]
 [01],[00],[00],103,[13],[45],[b0],[43]
 [02],[00],[00],101,[61],[03],[c1],[cd]
 [03],[00],[00],106,[eb],[44],[57],[39]
 [01],[00],[00],104,[13],[45],[b0],[43]
 [02],[00],[00],102,[61],[03],[c1],[cd]
 [03],[00],[00],107,[eb],[45],[57],[39]
 [01],[00],[00],105,[13],[44],[b0],[43]
 [02],[00],[00],103,[61],[03],[c1],[ce]
 [03],[00],[00],108,[eb],[44],[57],[39]
 [02],[00],[00],104,[61],[03],[c1],[ce]
 [03],[00],[00],109,[eb],[44],[57],[39]
 [01],[FF],,106,[00],[00],[00],[00]
 [01],[00],[00],107,[13],[45],[b0],[43]
 [02],[00],[00],105,[61],[03],[c0],[ce]
 [03],[00],[00],110,[eb],[44],[57],[39]
 [01],[00],[00],108,[13],[45],[b0],[43]
 [02],[00],[00],106,[60],[03],[c0],[ce]
 [03],[00],[00],111,[eb],[44],[57],[39]
 [01],[00],[00],109,[12],[45],[b0],[43]
 [02],[00],[00],107,[60],[03],[c0],[ce]
 [03],[00],[00],112,[eb],[44],[57],[39]
 [03],[00],[00],113,[eb],[44],[57],[39]
